"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SP.POP.AG15.MA.IN","Health: Population: Structure","Age population, age 15, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG16.FE.IN","Health: Population: Structure","Age population, age 16, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG16.MA.IN","Health: Population: Structure","Age population, age 16, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG17.FE.IN","Health: Population: Structure","Age population, age 17, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG17.MA.IN","Health: Population: Structure","Age population, age 17, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG18.FE.IN","Health: Population: Structure","Age population, age 18, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG18.MA.IN","Health: Population: Structure","Age population, age 18, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG19.FE.IN","Health: Population: Structure","Age population, age 19, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG19.MA.IN","Health: Population: Structure","Age population, age 19, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG20.FE.IN","Health: Population: Structure","Age population, age 20, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG20.MA.IN","Health: Population: Structure","Age population, age 20, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG21.FE.IN","Health: Population: Structure","Age population, age 21, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG21.MA.IN","Health: Population: Structure","Age population, age 21, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG22.FE.IN","Health: Population: Structure","Age population, age 22, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG22.MA.IN","Health: Population: Structure","Age population, age 22, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG23.FE.IN","Health: Population: Structure","Age population, age 23, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG23.MA.IN","Health: Population: Structure","Age population, age 23, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG24.FE.IN","Health: Population: Structure","Age population, age 24, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG24.MA.IN","Health: Population: Structure","Age population, age 24, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG25.FE.IN","Health: Population: Structure","Age population, age 25, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG25.MA.IN","Health: Population: Structure","Age population, age 25, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.BRTH.MF","Health: Population: Structure","Sex ratio at birth (male births per female births)","","Sex ratio at birth refers to male births per female births. The data are 5 year averages.","","Annual","","","Weighted average","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.DPND","Health: Population: Dynamics","Age dependency ratio (% of working-age population)","","Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","","Annual","","","Weighted average","Because the five-year age group is the cohort unit and five-year period data are used in the United Nations Population Division's World Population Prospects, interpolations to obtain annual data or single age structure may not reflect actual events or age composition. For more information, see the original source.","","Relevance to gender indicator: this indicator implies the dependency burden that the working-age population bears in relation to children and the elderly. Many times single or widowed women who are the sole caregiver of a household have a high dependency ratio.","World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Dependency ratios capture variations in the proportions of children, elderly people, and working-age people in the population that imply the dependency burden that the working-age population bears in relation to children and the elderly. But dependency ratios show only the age composition of a population, not economic dependency. Some children and elderly people are part of the labor force, and many working-age people are not.

Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.","","","","CC BY-4.0",
"SP.POP.DPND.OL","Health: Population: Dynamics","Age dependency ratio, old (% of working-age population)","","Age dependency ratio, old, is the ratio of older dependents--people older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","","Annual","","","Weighted average","Because the five-year age group is the cohort unit and five-year period data are used in the United Nations Population Division's World Population Prospects, interpolations to obtain annual data or single age structure may not reflect actual events or age composition. For more information, see the original source.","","","World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Dependency ratios capture variations in the proportions of children, elderly people, and working-age people in the population that imply the dependency burden that the working-age population bears in relation to children and the elderly. But dependency ratios show only the age composition of a population, not economic dependency. Some children and elderly people are part of the labor force, and many working-age people are not.

Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.","","","","CC BY-4.0",
"SP.POP.DPND.YG","Health: Population: Dynamics","Age dependency ratio, young (% of working-age population)","","Age dependency ratio, young, is the ratio of younger dependents--people younger than 15--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.","","Annual","","","Weighted average","Because the five-year age group is the cohort unit and five-year period data are used in the United Nations Population Division's World Population Prospects, interpolations to obtain annual data or single age structure may not reflect actual events or age composition. For more information, see the original source.","","","World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Dependency ratios capture variations in the proportions of children, elderly people, and working-age people in the population that imply the dependency burden that the working-age population bears in relation to children and the elderly. But dependency ratios show only the age composition of a population, not economic dependency. Some children and elderly people are part of the labor force, and many working-age people are not.

Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.","","","","CC BY-4.0",
"SP.POP.GROW","Health: Population: Dynamics","Population growth (annual %)","Annual population growth rate. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","","","","Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects: 2017 Revision, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.","Total population growth rates are calculated on the assumption that rate of growth is constant between two points in time. The growth rate is computed using the exponential growth formula:

r = ln(pn/p0)/n, 

where r is the exponential rate of growth, ln() is the natural logarithm, pn is the end period population, p0 is the beginning period population, and n is the number of years in between. Note that this is not the geometric growth rate used to compute compound growth over discrete periods.

For information on total population from which the growth rates are calculated, see total population (SP.POP.TOTL).","","","","","CC BY-4.0",
"SP.POP.TOTL","Health: Population: Structure","Population, total","","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","","Annual","","","Sum","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 

The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data. In the UN estimates the five-year age group is the cohort unit and five-year period data are used; therefore interpolations to obtain annual data or single age structure may not reflect actual events or age composition.

Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.","","Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.","Population estimates are usually based on national population censuses. Estimates for the years before and after the census are interpolations or extrapolations based on demographic models.

Errors and undercounting occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.

The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.

The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.

The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.

International migration is the only other factor besides birth and death rates that directly determines a country's population growth. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.

Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","","","","CC BY-4.0",
"SP.POP.TOTL.FE.IN","Health: Population: Structure","Population, female","","Female population is based on the de facto definition of population, which counts all female residents regardless of legal status or citizenship.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.TOTL.FE.ZS","Health: Population: Structure","Population, female (% of total)","","Female population is the percentage of the population that is female. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Population structure by age and sex in the World Bank's estimates is based on the population structure by age and sex in United Nations Population Division's World Population Prospects. For more information, see the original source.","Females comprise almost one-half of the world population.  Female population relative to male population is a primary demographic indicator, reflecting historical events such as wars and the socio-demographic and ethno-cultural characteristics of the population.","","","","CC BY-4.0",
"SP.POP.TOTL.MA.IN","Health: Population: Structure","Population, male","","Male population is based on the de facto definition of population, which counts all male residents regardless of legal status or citizenship.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.TOTL.MA.ZS","Health: Population: Structure","Population, male (% of total)","","Male population is the percentage of the population that is male. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Population structure by age and sex in the World Bank's estimates is based on the population structure by age and sex in United Nations Population Division's World Population Prospects. For more information, see the original source.","","","","","CC BY-4.0",
"SP.RUR.TOTL","Environment: Density & urbanization","Rural population","","Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population. Aggregation of urban and rural population may not add up to total population because of different country coverages.","","Annual","","","Sum","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.","","","World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.","Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as ""urban"" or ""rural.""

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. ""Rural"" encompasses all population, housing, and territory not included within an urban area.","","","","CC BY-4.0",
"SP.RUR.TOTL.ZG","Environment: Density & urbanization","Rural population growth (annual %)","","Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.","","Annual","","","Weighted average","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.","","","World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.","Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as ""urban"" or ""rural.""

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. ""Rural"" encompasses all population, housing, and territory not included within an urban area.","","","","CC BY-4.0",
"SP.RUR.TOTL.ZS","Environment: Density & urbanization","Rural population (% of total population)","","Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.","","Annual","","","Weighted average","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.","","","World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.","Rural population is calculated as the difference between the total population and the urban population. Rural population is approximated as the midyear nonurban population. While a practical means of identifying the rural population, it is not a precise measure.

The United Nations Population Division and other agencies provide current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data.","The rural population is calculated using the urban share reported by the United Nations Population Division. There is no universal standard for distinguishing rural from urban areas, and any urban-rural dichotomy is an oversimplification.

 The two distinct images - isolated farm, thriving metropolis - represent poles on a continuum. Life changes along a variety of dimensions, moving from the most remote forest outpost through fields and pastures, past tiny hamlets, through small towns with weekly farm markets, into intensively cultivated areas near large towns and small cities, eventually reaching the center of a megacity. Along the way access to infrastructure, social services, and nonfarm employment increase, and with them population density and income.

A 2005 World Bank Policy Research Paper proposes an operational definition of rurality based on population density and distance to large cities (Chomitz, Buys, and Thomas 2005). The report argues that these criteria are important gradients along which economic behavior and appropriate development interventions vary substantially. Where population densities are low, markets of all kinds are thin, and the unit cost of delivering most social services and many types of infrastructure is high. Where large urban areas are distant, farm-gate or factory-gate prices of outputs will be low and input prices will be high, and it will be difficult to recruit skilled people to public service or private enterprises. Thus, low population density and remoteness together define a set of rural areas that face special development challenges.

Countries differ in the way they classify population as ""urban"" or ""rural.""

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Rural population methodology is defined by various national statistical offices. In the United States, for example, the US Census Bureau's urban-rural classification is fundamentally a delineation of geographical areas, identifying both individual urban areas and the rural areas of the nation. ""Rural"" encompasses all population, housing, and territory not included within an urban area.","","","","CC BY-4.0",
"SP.URB.GROW","Environment: Density & urbanization","Urban population growth (annual %)","","Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.","","Annual","","","Weighted average","There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers.

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.","","","World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.","Urban population refers to people living in urban areas as defined by national statistical offices. The indicator is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.

Countries differ in the way they classify population as ""urban"" or ""rural."" The population of a city or metropolitan area depends on the boundaries chosen.","Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","","","","CC BY-4.0",
"SP.URB.TOTL","Environment: Density & urbanization","Urban population","","Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects. Aggregation of urban and rural population may not add up to total population because of different country coverages.","","Annual","","","Sum","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers. 

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.","","","World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.","Urban population refers to people living in urban areas as defined by national statistical offices. The indicator is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects. To estimate urban populations, UN ratios of urban to total population were applied to the World Bank's estimates of total population.

Countries differ in the way they classify population as ""urban"" or ""rural."" The population of a city or metropolitan area depends on the boundaries chosen.","Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","","","","CC BY-4.0",
"SP.URB.TOTL.IN.ZS","Environment: Density & urbanization","Urban population (% of total)","","Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.","","Annual","","","Weighted average","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.

Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.

Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers. 

Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.","","","United Nations Population Division. World Urbanization Prospects: 2018 Revision.","Urban population refers to people living in urban areas as defined by national statistical offices. The indicator is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects.

Percentages urban are the numbers of persons residing in an area defined as ''urban'' per 100 total population. They are calculated by the Statistics Division of the United Nations Department of Economic and Social Affairs. Particular caution should be used in interpreting the figures for percentage urban for different countries.

Countries differ in the way they classify population as ""urban"" or ""rural."" The population of a city or metropolitan area depends on the boundaries chosen.","Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","","","","CC BY-4.0",
